date,lake_level,lake_extent_km2,water_depth,volume_km3
1948-10-19,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-10-20,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-10-21,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-10-22,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-10-23,1134.309,66841.366493374,1134.309,75818.76358573257
1948-10-24,1134.409,66841.61448016053,1134.409,75825.72904082443
1948-10-25,1134.419,66841.61448016053,1134.419,75826.39745696924
1948-10-26,1134.419,66841.61448016053,1134.419,75826.39745696924
1948-10-27,1134.449,66841.61448016053,1134.449,75828.40270540363
1948-10-28,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-10-29,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-10-30,1134.449,66841.61448016053,1134.449,75828.40270540363
1948-10-31,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-11-01,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-11-02,1134.449,66841.61448016053,1134.449,75828.40270540363
1948-11-03,1134.479,66841.61448016053,1134.479,75830.40795383803
1948-11-04,1134.469,66841.61448016053,1134.469,75829.73953769323
1948-11-05,1134.499,66841.61448016053,1134.499,75831.74478612765
1948-11-06,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-11-07,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-11-08,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-11-09,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-11-10,1134.479,66841.61448016053,1134.479,75830.40795383803
1948-11-11,1134.479,66841.61448016053,1134.479,75830.40795383803
1948-11-12,1134.479,66841.61448016053,1134.479,75830.40795383803
1948-11-13,1134.469,66841.61448016053,1134.469,75829.73953769323
1948-11-14,1134.469,66841.61448016053,1134.469,75829.73953769323
1948-11-15,1134.479,66841.61448016053,1134.479,75830.40795383803
1948-11-16,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-11-17,1134.449,66841.61448016053,1134.449,75828.40270540363
1948-11-18,1134.469,66841.61448016053,1134.469,75829.73953769323
1948-11-19,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-11-20,1134.469,66841.61448016053,1134.469,75829.73953769323
1948-11-21,1134.469,66841.61448016053,1134.469,75829.73953769323
1948-11-22,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-11-23,1134.459,66841.61448016053,1134.459,75829.07112154843
1948-11-24,1134.449,66841.61448016053,1134.449,75828.40270540363
1948-11-25,1134.449,66841.61448016053,1134.449,75828.40270540363
1948-11-26,1134.449,66841.61448016053,1134.449,75828.40270540363
1948-11-27,1134.479,66841.61448016053,1134.479,75830.40795383803
1948-11-28,1134.474,66841.61448016053,1134.474,75830.07374576562
1948-11-29,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-11-30,1134.439,66841.61448016053,1134.439,75827.73428925883
1948-12-01,1134.429,66841.61448016053,1134.429,75827.06587311403
1948-12-02,1134.429,66841.61448016053,1134.429,75827.06587311403
1948-12-03,1134.429,66841.61448016053,1134.429,75827.06587311403
1948-12-04,1134.429,66841.61448016053,1134.429,75827.06587311403
1948-12-05,1134.429,66841.61448016053,1134.429,75827.06587311403
1948-12-06,1134.429,66841.61448016053,1134.429,75827.06587311403
1948-12-07,1134.429,66841.61448016053,1134.429,75827.06587311403
1948-12-08,1134.429,66841.61448016053,1134.429,75827.06587311403
1948-12-09,1134.429,66841.61448016053,1134.429,75827.06587311403
1948-12-10,1134.429,66841.61448016053,1134.429,75827.06587311403
