date,lake_level,lake_extent_km2
1949-11-02,1134.034,66841.366493374
1949-11-03,1134.024,66841.366493374
1949-11-04,1134.009,66841.366493374
1949-11-05,1134.019,66841.366493374
1949-11-06,1134.019,66841.366493374
1949-11-07,1134.019,66841.366493374
1949-11-08,1134.019,66841.366493374
1949-11-09,1134.014,66841.366493374
1949-11-10,1134.014,66841.366493374
1949-11-11,1133.989,66770.19428564071
1949-11-12,1134.009,66841.366493374
1949-11-13,1134.009,66841.366493374
1949-11-14,1133.989,66770.19428564071
1949-11-15,1133.994,66770.19428564071
1949-11-16,1133.999,66770.19428564071
1949-11-17,1133.984,66770.19428564071
1949-11-18,1133.959,66743.6596994823
1949-11-19,1133.959,66743.6596994823
1949-11-20,1133.964,66752.33923701076
1949-11-21,1133.989,66770.19428564071
1949-11-22,1133.964,66752.33923701076
1949-11-23,1133.994,66770.19428564071
1949-11-24,1133.959,66743.6596994823
1949-11-25,1134.004,66841.366493374
1949-11-26,1133.929,66649.92069417506
1949-11-27,1133.974,66770.19428564071
1949-11-28,1133.979,66770.19428564071
1949-11-29,1133.939,66685.38280464843
1949-11-30,1133.944,66701.99791934575
1949-12-01,1133.929,66649.92069417506
1949-12-02,1133.919,66605.5310593867
1949-12-03,1133.959,66743.6596994823
1949-12-04,1133.964,66752.33923701076
1949-12-05,1133.944,66701.99791934575
1949-12-06,1133.944,66701.99791934575
1949-12-07,1133.949,66717.86907368348
1949-12-08,1133.969,66770.19428564071
1949-12-09,1133.954,66729.27646586373
1949-12-10,1133.959,66743.6596994823
